DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY_NEW,CANCELLED,WEATHER_DELAY
1,8/5/2019,EV,4310,13487,13930,1127,0,0,
1,8/12/2019,EV,4310,13487,13930,1127,1,0,
1,8/19/2019,EV,4310,13487,13930,1127,1,0,
1,8/26/2019,EV,4310,15624,12266,905,0,0,
1,8/5/2019,EV,4311,15016,13930,1040,0,0,
1,8/12/2019,EV,4311,15016,13930,1040,0,0,
1,8/19/2019,EV,4311,15016,13930,1040,104,0,0
1,8/26/2019,EV,4313,15919,12266,905,157,0,138
1,8/5/2019,EV,4315,13930,13487,1750,42,0,0
1,8/12/2019,EV,4315,13930,13487,1750,,1,
1,8/19/2019,EV,4315,13930,13487,1750,0,0,
1,8/26/2019,EV,4315,13930,13487,1801,136,0,0
1,8/5/2019,EV,4316,12266,12915,2130,0,0,
1,8/12/2019,EV,4316,12266,12915,2130,0,0,
1,8/19/2019,EV,4316,12266,12915,2130,0,0,
1,8/26/2019,EV,4316,12266,12915,2130,0,0,
1,8/26/2019,EV,4318,15370,13930,610,28,0,0
1,8/5/2019,EV,4319,10693,13930,1110,0,0,
1,8/12/2019,EV,4319,10693,13930,1110,0,0,
1,8/19/2019,EV,4319,10693,13930,1110,0,0,
1,8/26/2019,EV,4319,10693,13930,1110,38,0,0
1,8/5/2019,EV,4320,12266,11982,2145,0,0,
1,8/12/2019,EV,4320,12266,11982,2145,0,0,
1,8/19/2019,EV,4320,12266,11982,2145,932,0,0
1,8/26/2019,EV,4320,12266,11982,2145,0,0,
1,8/5/2019,EV,4323,14193,12266,1146,4,0,
1,8/12/2019,EV,4323,14193,12266,1146,0,0,
1,8/19/2019,EV,4323,14193,12266,1146,19,0,0
1,8/26/2019,EV,4323,14696,11618,1330,45,0,0
1,8/26/2019,EV,4326,11146,13930,615,7,0,
1,8/5/2019,EV,4327,15412,12266,945,0,0,
1,8/12/2019,EV,4327,15412,12266,945,0,0,
1,8/19/2019,EV,4327,15412,12266,945,0,0,
1,8/26/2019,EV,4327,15412,12266,933,0,0,
1,8/26/2019,EV,4328,13871,12266,1750,0,0,
1,8/5/2019,EV,4329,14321,11618,1800,0,0,
1,8/12/2019,EV,4329,14321,11618,1800,0,0,
1,8/19/2019,EV,4329,14321,11618,1800,,1,
1,8/26/2019,EV,4329,14321,11618,1800,184,0,0
1,8/19/2019,EV,4330,10747,12266,1605,0,0,
1,8/26/2019,EV,4330,10747,12266,1700,0,0,
1,8/5/2019,EV,4331,10397,12266,735,0,0,
1,8/12/2019,EV,4331,10397,12266,735,0,0,
1,8/19/2019,EV,4331,10397,12266,735,0,0,0
1,8/26/2019,EV,4331,12266,12339,725,0,0,
1,8/5/2019,EV,4332,11042,11618,915,0,0,
1,8/12/2019,EV,4332,11042,11618,915,4,0,
1,8/19/2019,EV,4332,11042,11618,915,0,0,
1,8/26/2019,EV,4332,11042,11618,915,0,0,
1,8/5/2019,EV,4333,12266,14783,1955,0,0,
1,8/12/2019,EV,4333,12266,14783,1955,0,0,
1,8/19/2019,EV,4333,12266,14783,1955,0,0,
1,8/26/2019,EV,4333,12266,14783,1955,0,0,
1,8/5/2019,EV,4333,12951,12266,1751,0,0,
1,8/12/2019,EV,4333,12951,12266,1751,34,0,0
1,8/19/2019,EV,4333,12951,12266,1751,6,0,
1,8/5/2019,EV,4334,11042,11618,1100,0,0,
1,8/12/2019,EV,4334,11042,11618,1100,0,0,
1,8/19/2019,EV,4334,11042,11618,1100,4,0,
1,8/26/2019,EV,4334,11042,11618,1100,10,0,
1,8/5/2019,EV,4335,13487,12266,800,0,0,
1,8/12/2019,EV,4335,13487,12266,800,0,0,
1,8/19/2019,EV,4335,13487,12266,800,0,0,
1,8/26/2019,EV,4335,13487,12266,800,0,0,
1,8/5/2019,EV,4336,12266,12448,1435,0,0,
1,8/12/2019,EV,4336,12266,12448,1435,0,0,
1,8/19/2019,EV,4336,12266,12448,1435,0,0,
1,8/26/2019,EV,4336,12266,12448,1435,0,0,
1,8/5/2019,EV,4339,12266,10397,1955,43,0,0
1,8/12/2019,EV,4339,12266,10397,1955,8,0,
1,8/19/2019,EV,4339,12266,10397,1955,0,0,
1,8/26/2019,EV,4339,12266,15016,1215,0,0,
1,8/26/2019,EV,4342,12266,12217,1540,0,0,
1,8/5/2019,EV,4342,15412,12266,1147,0,0,
1,8/12/2019,EV,4342,15412,12266,1147,0,0,
1,8/19/2019,EV,4342,15412,12266,1147,27,0,0
1,8/26/2019,EV,4342,15412,12266,1155,14,0,0
1,8/5/2019,EV,4343,12992,12266,1400,7,0,
1,8/12/2019,EV,4343,12992,12266,1400,0,0,
1,8/19/2019,EV,4343,12992,12266,1400,0,0,
1,8/5/2019,EV,4344,13377,12266,1611,0,0,
1,8/12/2019,EV,4344,13377,12266,1611,5,0,0
1,8/19/2019,EV,4344,13377,12266,1611,0,0,
1,8/26/2019,EV,4344,13377,12266,1609,0,0,
1,8/5/2019,EV,4345,14307,11618,1930,0,0,
1,8/12/2019,EV,4345,14307,11618,1930,0,0,
1,8/19/2019,EV,4345,14307,11618,1930,66,0,0
1,8/5/2019,EV,4346,12266,14814,755,0,0,
1,8/12/2019,EV,4346,12266,14814,755,0,0,
1,8/19/2019,EV,4346,12266,14814,755,0,0,
1,8/26/2019,EV,4346,12266,14814,755,0,0,
1,8/26/2019,EV,4347,11618,14696,1329,8,0,
1,8/5/2019,EV,4348,13930,13485,2110,0,1,
1,8/12/2019,EV,4348,13930,13485,2110,0,0,
1,8/26/2019,EV,4349,10693,12266,1831,94,0,60
1,8/5/2019,EV,4350,13061,12266,1605,0,0,
1,8/12/2019,EV,4350,13061,12266,1605,0,0,0
1,8/19/2019,EV,4350,13061,12266,1605,0,0,
1,8/26/2019,EV,4350,13061,12266,1700,0,0,
1,8/5/2019,EV,4352,10747,12266,1420,12,0,
1,8/12/2019,EV,4352,10747,12266,1420,172,0,0
1,8/19/2019,EV,4352,10747,12266,1420,0,0,
1,8/26/2019,EV,4352,10747,12266,1415,0,0,
1,8/5/2019,EV,4353,10185,12266,725,0,0,
1,8/12/2019,EV,4353,10185,12266,725,0,0,0
1,8/19/2019,EV,4353,10185,12266,725,0,0,
1,8/26/2019,EV,4353,10185,12266,725,0,0,
1,8/5/2019,EV,4355,15016,11618,1225,0,0,
1,8/12/2019,EV,4355,15016,11618,1225,26,0,0
1,8/19/2019,EV,4355,15016,11618,1225,106,0,0
1,8/26/2019,EV,4355,15016,11618,1030,1,0,
1,8/5/2019,EV,4356,11618,11278,600,0,0,
1,8/12/2019,EV,4356,11618,11278,600,0,0,
1,8/19/2019,EV,4356,11618,11278,600,9,0,
1,8/26/2019,EV,4356,13930,14492,1445,0,0,0
